Blue Eaten,Orange Eaten,Score,Seed,Vegan,Win/Lose
0,0,962.0,0,0,win
0,0,958.0,0,0,win
0,0,944.0,0,0,win
0,0,947.0,0,0,win
0,0,933.0,0,0,win
0,0,947.0,0,0,win
0,0,966.0,0,0,win
0,0,938.0,0,0,win
0,0,928.0,0,0,win
0,0,-329.0,0,0,lose
0,0,929.0,0,0,win
0,0,941.0,0,0,win
0,0,961.0,0,0,win
0,0,946.0,0,0,win
0,0,895.0,0,0,win
0,0,974.0,0,0,win
0,0,942.0,0,0,win
0,0,924.0,0,0,win
0,0,956.0,0,0,win
0,0,964.0,0,0,win
0,0,948.0,0,0,win
0,0,953.0,0,0,win
0,0,866.0,0,0,win
0,0,944.0,0,0,win
0,0,942.0,0,0,win
0,0,942.0,0,0,win
0,0,-285.0,0,0,lose
0,0,963.0,0,0,win
0,0,955.0,0,0,win
0,0,915.0,0,0,win
0,0,956.0,0,0,win
0,0,948.0,0,0,win
0,0,-161.0,0,0,lose
0,0,959.0,0,0,win
0,0,929.0,0,0,win
0,0,974.0,0,0,win
0,0,918.0,0,0,win
0,0,900.0,0,0,win
0,0,957.0,0,0,win
0,0,950.0,0,0,win
0,0,962.0,0,0,win
0,0,947.0,0,0,win
0,0,961.0,0,0,win
0,0,938.0,0,0,win
0,0,946.0,0,0,win
0,0,923.0,0,0,win
0,0,-157.0,0,0,lose
0,0,944.0,0,0,win
0,0,965.0,0,0,win
0,0,910.0,0,0,win
0,0,910.0,0,0,win
0,0,969.0,0,0,win
0,0,957.0,0,0,win
0,0,961.0,0,0,win
0,0,887.0,0,0,win
0,0,932.0,0,0,win
0,0,966.0,0,0,win
0,0,943.0,0,0,win
0,0,955.0,0,0,win
0,0,954.0,0,0,win
0,0,927.0,0,0,win
0,0,953.0,0,0,win
0,0,968.0,0,0,win
0,0,944.0,0,0,win
0,0,942.0,0,0,win
0,0,956.0,0,0,win
0,0,939.0,0,0,win
0,0,960.0,0,0,win
0,0,972.0,0,0,win
0,0,946.0,0,0,win
0,0,971.0,0,0,win
0,0,951.0,0,0,win
0,0,944.0,0,0,win
0,0,917.0,0,0,win
0,0,921.0,0,0,win
0,0,960.0,0,0,win
0,0,-81.0,0,0,lose
0,0,947.0,0,0,win
0,0,966.0,0,0,win
0,0,963.0,0,0,win
0,0,969.0,0,0,win
0,0,942.0,0,0,win
0,0,939.0,0,0,win
0,0,935.0,0,0,win
1,1,1222.0,0,2,win
0,0,922.0,0,0,win
0,0,923.0,0,0,win
0,0,956.0,0,0,win
0,0,928.0,0,0,win
0,0,946.0,0,0,win
0,0,936.0,0,0,win
0,0,969.0,0,0,win
0,0,923.0,0,0,win
0,0,971.0,0,0,win
0,0,967.0,0,0,win
0,0,962.0,0,0,win
0,0,929.0,0,0,win
0,0,932.0,0,0,win
0,0,961.0,0,0,win
0,0,964.0,0,0,win
0,0,952.0,0,0,win
0,0,955.0,0,0,win
0,0,942.0,0,0,win
0,0,900.0,0,0,win
0,0,964.0,0,0,win
0,0,944.0,0,0,win
0,0,929.0,0,0,win
0,0,800.0,0,0,win
0,0,947.0,0,0,win
0,0,924.0,0,0,win
0,0,-54.0,0,0,lose
0,0,949.0,0,0,win
0,0,961.0,0,0,win
0,0,937.0,0,0,win
0,0,940.0,0,0,win
0,0,902.0,0,0,win
0,0,958.0,0,0,win
0,0,946.0,0,0,win
0,0,947.0,0,0,win
0,0,964.0,0,0,win
0,0,948.0,0,0,win
0,0,919.0,0,0,win
0,0,959.0,0,0,win
0,0,914.0,0,0,win
0,0,920.0,0,0,win
0,0,922.0,0,0,win
0,0,959.0,0,0,win
0,0,961.0,0,0,win
0,0,944.0,0,0,win
0,0,964.0,0,0,win
0,0,952.0,0,0,win
0,0,961.0,0,0,win
0,0,912.0,0,0,win
0,0,945.0,0,0,win
0,0,961.0,0,0,win
0,0,946.0,0,0,win
0,0,944.0,0,0,win
0,0,967.0,0,0,win
0,0,916.0,0,0,win
0,0,980.0,0,0,win
0,0,949.0,0,0,win
0,0,970.0,0,0,win
0,0,961.0,0,0,win
0,0,946.0,0,0,win
0,0,967.0,0,0,win
0,0,932.0,0,0,win
0,0,928.0,0,0,win
0,0,902.0,0,0,win
0,0,973.0,0,0,win
0,0,960.0,0,0,win
0,0,937.0,0,0,win
0,0,919.0,0,0,win
0,0,939.0,0,0,win
0,0,922.0,0,0,win
0,0,929.0,0,0,win
0,0,941.0,0,0,win
0,0,955.0,0,0,win
0,0,968.0,0,0,win
0,0,946.0,0,0,win
0,0,-308.0,0,0,lose
0,0,908.0,0,0,win
0,0,943.0,0,0,win
0,0,960.0,0,0,win
0,0,940.0,0,0,win
0,0,933.0,0,0,win
0,0,960.0,0,0,win
0,0,915.0,0,0,win
0,0,953.0,0,0,win
0,0,940.0,0,0,win
0,0,956.0,0,0,win
0,0,919.0,0,0,win
0,0,911.0,0,0,win
0,0,952.0,0,0,win
0,0,937.0,0,0,win
0,0,973.0,0,0,win
0,0,976.0,0,0,win
0,0,-263.0,0,0,lose
0,0,951.0,0,0,win
0,0,937.0,0,0,win
0,0,916.0,0,0,win
0,0,967.0,0,0,win
0,0,-331.0,0,0,lose
0,0,946.0,0,0,win
0,0,920.0,0,0,win
0,0,947.0,0,0,win
0,0,-108.0,0,0,lose
0,0,945.0,0,0,win
0,0,964.0,0,0,win
0,0,878.0,0,0,win
0,0,949.0,0,0,win
0,0,937.0,0,0,win
0,0,946.0,0,0,win
0,0,915.0,0,0,win
0,0,-112.0,0,0,lose
0,0,932.0,0,0,win
0,0,905.0,0,0,win
0,0,954.0,0,0,win
0,0,949.0,0,0,win
0,0,959.0,0,0,win
0,0,906.0,0,0,win
0,0,-315.0,0,0,lose
0,0,933.0,0,0,win
0,0,952.0,0,0,win
0,0,885.0,0,0,win
0,0,953.0,0,0,win
0,0,968.0,0,0,win
0,0,962.0,0,0,win
0,0,963.0,0,0,win
0,0,945.0,0,0,win
0,0,949.0,0,0,win
0,0,947.0,0,0,win
0,0,953.0,0,0,win
0,0,922.0,0,0,win
0,0,948.0,0,0,win
0,0,-338.0,0,0,lose
0,0,954.0,0,0,win
0,0,-91.0,0,0,lose
0,0,950.0,0,0,win
0,0,891.0,0,0,win
0,0,969.0,0,0,win
0,0,976.0,0,0,win
0,0,975.0,0,0,win
0,0,921.0,0,0,win
0,0,916.0,0,0,win
0,0,937.0,0,0,win
0,0,973.0,0,0,win
0,0,956.0,0,0,win
0,0,971.0,0,0,win
0,0,923.0,0,0,win
0,0,935.0,0,0,win
0,0,962.0,0,0,win
0,0,903.0,0,0,win
0,0,944.0,0,0,win
0,0,933.0,0,0,win
0,0,960.0,0,0,win
0,0,961.0,0,0,win
0,0,969.0,0,0,win
0,0,924.0,0,0,win
0,0,917.0,0,0,win
0,0,952.0,0,0,win
0,0,950.0,0,0,win
0,0,954.0,0,0,win
0,0,940.0,0,0,win
0,0,916.0,0,0,win
0,0,940.0,0,0,win
0,0,943.0,0,0,win
0,0,938.0,0,0,win
0,0,934.0,0,0,win
0,0,893.0,0,0,win
0,0,948.0,0,0,win
0,0,937.0,0,0,win
0,0,905.0,0,0,win
0,0,980.0,0,0,win
0,0,963.0,0,0,win
0,0,961.0,0,0,win
0,0,925.0,0,0,win
0,0,925.0,0,0,win
0,0,956.0,0,0,win
0,0,929.0,0,0,win
0,0,949.0,0,0,win
0,0,-97.0,0,0,lose
0,0,959.0,0,0,win
0,0,972.0,0,0,win
0,0,940.0,0,0,win
0,0,924.0,0,0,win
0,0,965.0,0,0,win
0,0,973.0,0,0,win
0,0,964.0,0,0,win
0,0,912.0,0,0,win
0,0,937.0,0,0,win
0,0,903.0,0,0,win
0,0,929.0,0,0,win
0,0,938.0,0,0,win
0,0,948.0,0,0,win
0,0,961.0,0,0,win
0,0,952.0,0,0,win
0,0,940.0,0,0,win
0,0,890.0,0,0,win
0,0,958.0,0,0,win
0,0,947.0,0,0,win
0,0,955.0,0,0,win
0,0,904.0,0,0,win
0,0,953.0,0,0,win
0,0,913.0,0,0,win
0,0,916.0,0,0,win
0,0,941.0,0,0,win
0,0,919.0,0,0,win
0,0,940.0,0,0,win
0,0,960.0,0,0,win
0,0,956.0,0,0,win
0,0,962.0,0,0,win
0,0,963.0,0,0,win
0,0,913.0,0,0,win
0,0,972.0,0,0,win
0,0,963.0,0,0,win
0,0,931.0,0,0,win
0,0,895.0,0,0,win
0,0,961.0,0,0,win
0,0,956.0,0,0,win
0,0,969.0,0,0,win
0,0,964.0,0,0,win
0,0,924.0,0,0,win
0,0,979.0,0,0,win
0,0,959.0,0,0,win
0,0,954.0,0,0,win
0,0,857.0,0,0,win
0,0,968.0,0,0,win
0,0,971.0,0,0,win
0,0,938.0,0,0,win
0,0,945.0,0,0,win
0,0,868.0,0,0,win
0,0,967.0,0,0,win
0,0,951.0,0,0,win
0,0,939.0,0,0,win
0,0,-98.0,0,0,lose
0,0,-75.0,0,0,lose
0,0,940.0,0,0,win
0,0,883.0,0,0,win
0,0,948.0,0,0,win
0,0,939.0,0,0,win
0,0,939.0,0,0,win
0,0,974.0,0,0,win
0,0,-215.0,0,0,lose
0,0,943.0,0,0,win
0,0,884.0,0,0,win
0,0,953.0,0,0,win
0,0,968.0,0,0,win
0,0,932.0,0,0,win
0,0,964.0,0,0,win
0,0,984.0,0,0,win
0,0,906.0,0,0,win
0,0,902.0,0,0,win
0,0,899.0,0,0,win
0,0,926.0,0,0,win
0,0,962.0,0,0,win
0,0,964.0,0,0,win
0,0,967.0,0,0,win
0,0,913.0,0,0,win
0,0,956.0,0,0,win
0,0,947.0,0,0,win
0,0,970.0,0,0,win
0,0,965.0,0,0,win
0,0,965.0,0,0,win
0,0,956.0,0,0,win
0,0,949.0,0,0,win
0,0,913.0,0,0,win
0,0,969.0,0,0,win
0,0,943.0,0,0,win
0,0,965.0,0,0,win
0,0,925.0,0,0,win
0,0,970.0,0,0,win
0,0,926.0,0,0,win
0,0,951.0,0,0,win
0,0,943.0,0,0,win
0,0,927.0,0,0,win
0,0,912.0,0,0,win
0,0,906.0,0,0,win
0,0,967.0,0,0,win
0,0,952.0,0,0,win
0,0,933.0,0,0,win
0,0,919.0,0,0,win
0,0,962.0,0,0,win
0,0,941.0,0,0,win
0,0,927.0,0,0,win
0,0,952.0,0,0,win
0,0,909.0,0,0,win
0,0,957.0,0,0,win
0,0,964.0,0,0,win
0,0,918.0,0,0,win
0,0,949.0,0,0,win
0,0,917.0,0,0,win
0,0,933.0,0,0,win
0,0,981.0,0,0,win
0,0,965.0,0,0,win
0,0,952.0,0,0,win
0,0,958.0,0,0,win
0,0,962.0,0,0,win
0,0,966.0,0,0,win
0,0,961.0,0,0,win
0,0,908.0,0,0,win
0,0,960.0,0,0,win
0,0,938.0,0,0,win
0,0,932.0,0,0,win
0,0,911.0,0,0,win
0,0,933.0,0,0,win
0,0,949.0,0,0,win
0,0,-110.0,0,0,lose
0,0,934.0,0,0,win
0,0,957.0,0,0,win
0,0,951.0,0,0,win
0,0,944.0,0,0,win
0,0,943.0,0,0,win
0,0,889.0,0,0,win
0,0,-51.0,0,0,lose
0,0,975.0,0,0,win
0,0,905.0,0,0,win
0,0,926.0,0,0,win
0,0,951.0,0,0,win
0,0,877.0,0,0,win
0,0,947.0,0,0,win
0,0,951.0,0,0,win
0,0,960.0,0,0,win
0,0,935.0,0,0,win
0,0,906.0,0,0,win
0,0,945.0,0,0,win
0,0,913.0,0,0,win
0,0,947.0,0,0,win
0,0,941.0,0,0,win
0,0,939.0,0,0,win
0,0,968.0,0,0,win
0,0,925.0,0,0,win
0,0,961.0,0,0,win
0,0,954.0,0,0,win
0,0,914.0,0,0,win
0,0,948.0,0,0,win
0,0,959.0,0,0,win
0,0,972.0,0,0,win
0,0,937.0,0,0,win
0,0,946.0,0,0,win
0,0,912.0,0,0,win
0,0,951.0,0,0,win
0,0,965.0,0,0,win
0,0,943.0,0,0,win
0,0,959.0,0,0,win
0,0,938.0,0,0,win
0,0,945.0,0,0,win
0,0,952.0,0,0,win
0,0,897.0,0,0,win
0,0,950.0,0,0,win
0,0,928.0,0,0,win
0,0,951.0,0,0,win
0,0,943.0,0,0,win
0,0,944.0,0,0,win
0,0,965.0,0,0,win
0,0,932.0,0,0,win
0,0,952.0,0,0,win
0,0,-93.0,0,0,lose
0,0,960.0,0,0,win
0,0,967.0,0,0,win
0,0,925.0,0,0,win
0,0,909.0,0,0,win
0,0,894.0,0,0,win
0,0,943.0,0,0,win
0,0,869.0,0,0,win
0,0,-224.0,0,0,lose
0,0,917.0,0,0,win
0,0,937.0,0,0,win
0,0,926.0,0,0,win
0,0,882.0,0,0,win
0,0,969.0,0,0,win
0,0,954.0,0,0,win
0,0,933.0,0,0,win
0,0,938.0,0,0,win
0,0,945.0,0,0,win
0,0,931.0,0,0,win
0,0,929.0,0,0,win
0,0,963.0,0,0,win
0,0,957.0,0,0,win
0,0,944.0,0,0,win
0,0,919.0,0,0,win
0,0,-88.0,0,0,lose
0,0,920.0,0,0,win
0,0,893.0,0,0,win
0,0,896.0,0,0,win
0,0,936.0,0,0,win
0,0,893.0,0,0,win
0,0,950.0,0,0,win
0,0,905.0,0,0,win
0,0,950.0,0,0,win
0,0,956.0,0,0,win
0,0,932.0,0,0,win
0,0,940.0,0,0,win
0,0,938.0,0,0,win
0,0,969.0,0,0,win
0,0,966.0,0,0,win
0,0,958.0,0,0,win
0,0,939.0,0,0,win
0,0,885.0,0,0,win
0,0,963.0,0,0,win
0,0,948.0,0,0,win
0,0,876.0,0,0,win
0,0,-80.0,0,0,lose
0,0,952.0,0,0,win
0,0,911.0,0,0,win
0,0,940.0,0,0,win
0,0,954.0,0,0,win
0,0,954.0,0,0,win
0,0,967.0,0,0,win
0,0,955.0,0,0,win
0,0,961.0,0,0,win
0,0,892.0,0,0,win
0,0,952.0,0,0,win
0,0,928.0,0,0,win
0,0,936.0,0,0,win
0,0,936.0,0,0,win
0,0,943.0,0,0,win
0,0,945.0,0,0,win
0,0,-332.0,0,0,lose
0,0,953.0,0,0,win
0,0,965.0,0,0,win
0,0,953.0,0,0,win
0,0,958.0,0,0,win
0,0,928.0,0,0,win
0,0,951.0,0,0,win
0,0,967.0,0,0,win
0,0,955.0,0,0,win
0,0,936.0,0,0,win
0,0,931.0,0,0,win
0,0,960.0,0,0,win
0,0,961.0,0,0,win
0,0,-65.0,0,0,lose
0,0,939.0,0,0,win
0,0,970.0,0,0,win
0,0,946.0,0,0,win
0,0,915.0,0,0,win
0,0,904.0,0,0,win
0,0,949.0,0,0,win
0,0,975.0,0,0,win
0,0,959.0,0,0,win
0,0,942.0,0,0,win
0,0,953.0,0,0,win
0,0,969.0,0,0,win
0,0,958.0,0,0,win
0,0,887.0,0,0,win
0,0,967.0,0,0,win
0,0,923.0,0,0,win
0,0,956.0,0,0,win
0,0,-338.0,0,0,lose
0,0,955.0,0,0,win
0,0,946.0,0,0,win
0,0,967.0,0,0,win
0,0,932.0,0,0,win
0,0,951.0,0,0,win
0,0,877.0,0,0,win
0,0,916.0,0,0,win
0,0,981.0,0,0,win
0,0,931.0,0,0,win
0,0,957.0,0,0,win
0,0,918.0,0,0,win
0,0,969.0,0,0,win
0,0,966.0,0,0,win
0,0,951.0,0,0,win
0,0,980.0,0,0,win
0,0,962.0,0,0,win
0,0,925.0,0,0,win
0,0,944.0,0,0,win
0,0,953.0,0,0,win
0,0,938.0,0,0,win
0,0,965.0,0,0,win
0,0,898.0,0,0,win
0,0,930.0,0,0,win
0,0,956.0,0,0,win
0,0,982.0,0,0,win
0,0,864.0,0,0,win
0,0,918.0,0,0,win
0,0,945.0,0,0,win
0,0,970.0,0,0,win
0,0,960.0,0,0,win
0,0,935.0,0,0,win
0,0,945.0,0,0,win
0,0,954.0,0,0,win
0,0,965.0,0,0,win
0,0,945.0,0,0,win
0,0,944.0,0,0,win
0,0,943.0,0,0,win
0,0,916.0,0,0,win
0,0,911.0,0,0,win
0,0,-201.0,0,0,lose
0,0,960.0,0,0,win
0,0,946.0,0,0,win
0,0,932.0,0,0,win
0,0,935.0,0,0,win
0,0,959.0,0,0,win
0,0,962.0,0,0,win
0,0,952.0,0,0,win
0,0,934.0,0,0,win
0,0,967.0,0,0,win
0,0,957.0,0,0,win
0,0,965.0,0,0,win
0,0,957.0,0,0,win
0,0,-109.0,0,0,lose
0,0,958.0,0,0,win
0,0,942.0,0,0,win
0,0,953.0,0,0,win
0,0,949.0,0,0,win
0,0,955.0,0,0,win
0,0,937.0,0,0,win
0,0,886.0,0,0,win
0,0,-178.0,0,0,lose
0,0,944.0,0,0,win
0,0,956.0,0,0,win
0,0,958.0,0,0,win
0,0,925.0,0,0,win
0,0,935.0,0,0,win
0,0,931.0,0,0,win
0,0,955.0,0,0,win
0,0,-207.0,0,0,lose
0,0,944.0,0,0,win
0,0,951.0,0,0,win
0,0,950.0,0,0,win
0,0,975.0,0,0,win
0,0,938.0,0,0,win
0,0,953.0,0,0,win
0,0,921.0,0,0,win
0,0,965.0,0,0,win
0,0,961.0,0,0,win
0,0,966.0,0,0,win
0,0,806.0,0,0,win
0,0,981.0,0,0,win
0,0,926.0,0,0,win
0,0,-84.0,0,0,lose
0,0,959.0,0,0,win
0,0,937.0,0,0,win
0,0,895.0,0,0,win
0,0,949.0,0,0,win
0,0,921.0,0,0,win
0,0,877.0,0,0,win
0,0,954.0,0,0,win
0,0,926.0,0,0,win
0,0,931.0,0,0,win
0,0,895.0,0,0,win
0,0,918.0,0,0,win
0,0,955.0,0,0,win
0,0,943.0,0,0,win
0,0,-337.0,0,0,lose
0,0,957.0,0,0,win
0,0,930.0,0,0,win
0,0,948.0,0,0,win
0,0,975.0,0,0,win
0,0,949.0,0,0,win
0,0,974.0,0,0,win
0,0,958.0,0,0,win
0,0,967.0,0,0,win
0,0,-99.0,0,0,lose
0,0,890.0,0,0,win
0,0,961.0,0,0,win
0,0,954.0,0,0,win
0,0,910.0,0,0,win
0,0,896.0,0,0,win
0,0,927.0,0,0,win
0,0,948.0,0,0,win
0,0,944.0,0,0,win
0,0,969.0,0,0,win
0,0,964.0,0,0,win
0,0,922.0,0,0,win
0,0,939.0,0,0,win
0,0,962.0,0,0,win
0,0,918.0,0,0,win
0,0,961.0,0,0,win
0,0,932.0,0,0,win
0,0,967.0,0,0,win
0,0,918.0,0,0,win
0,0,966.0,0,0,win
0,0,958.0,0,0,win
0,0,958.0,0,0,win
0,0,959.0,0,0,win
0,0,970.0,0,0,win
0,0,915.0,0,0,win
0,0,975.0,0,0,win
0,0,974.0,0,0,win
0,0,938.0,0,0,win
0,0,911.0,0,0,win
0,0,962.0,0,0,win
0,0,925.0,0,0,win
0,0,963.0,0,0,win
0,0,-56.0,0,0,lose
0,0,920.0,0,0,win
0,0,944.0,0,0,win
0,0,966.0,0,0,win
0,0,972.0,0,0,win
0,0,942.0,0,0,win
0,0,942.0,0,0,win
0,0,958.0,0,0,win
0,0,924.0,0,0,win
0,0,960.0,0,0,win
0,0,848.0,0,0,win
0,0,927.0,0,0,win
0,0,949.0,0,0,win
0,0,927.0,0,0,win
0,0,899.0,0,0,win
0,0,959.0,0,0,win
0,0,926.0,0,0,win
0,0,910.0,0,0,win
0,0,926.0,0,0,win
0,0,897.0,0,0,win
0,0,954.0,0,0,win
0,0,-136.0,0,0,lose
0,0,948.0,0,0,win
1,0,430.0,0,1,timeout
0,0,971.0,0,0,win
0,0,954.0,0,0,win
0,0,975.0,0,0,win
0,0,947.0,0,0,win
0,0,936.0,0,0,win
0,0,950.0,0,0,win
0,0,903.0,0,0,win
0,0,947.0,0,0,win
0,0,956.0,0,0,win
0,0,934.0,0,0,win
0,0,963.0,0,0,win
0,0,943.0,0,0,win
0,0,964.0,0,0,win
0,0,955.0,0,0,win
0,0,954.0,0,0,win
0,0,958.0,0,0,win
0,0,956.0,0,0,win
0,0,970.0,0,0,win
0,0,974.0,0,0,win
0,0,948.0,0,0,win
0,0,923.0,0,0,win
0,0,956.0,0,0,win
0,0,945.0,0,0,win
0,0,908.0,0,0,win
0,0,968.0,0,0,win
0,0,979.0,0,0,win
0,0,951.0,0,0,win
0,0,936.0,0,0,win
0,0,956.0,0,0,win
0,0,955.0,0,0,win
0,0,958.0,0,0,win
0,0,934.0,0,0,win
0,0,958.0,0,0,win
0,0,942.0,0,0,win
0,0,964.0,0,0,win
0,0,950.0,0,0,win
0,0,960.0,0,0,win
0,0,944.0,0,0,win
0,0,977.0,0,0,win
0,0,970.0,0,0,win
0,0,935.0,0,0,win
0,0,-60.0,0,0,lose
0,0,933.0,0,0,win
0,0,926.0,0,0,win
0,0,978.0,0,0,win
0,0,-98.0,0,0,lose
0,0,907.0,0,0,win
0,0,-105.0,0,0,lose
0,0,934.0,0,0,win
0,0,930.0,0,0,win
0,0,971.0,0,0,win
0,0,967.0,0,0,win
0,0,948.0,0,0,win
0,0,963.0,0,0,win
0,0,948.0,0,0,win
0,0,899.0,0,0,win
0,0,945.0,0,0,win
0,0,920.0,0,0,win
0,0,935.0,0,0,win
0,0,958.0,0,0,win
0,0,902.0,0,0,win
0,0,966.0,0,0,win
0,0,935.0,0,0,win
0,0,904.0,0,0,win
0,0,942.0,0,0,win
0,0,960.0,0,0,win
0,0,937.0,0,0,win
0,0,979.0,0,0,win
0,0,950.0,0,0,win
0,0,938.0,0,0,win
0,0,915.0,0,0,win
0,0,929.0,0,0,win
0,0,-102.0,0,0,lose
0,0,130.0,0,0,timeout
0,0,948.0,0,0,win
0,0,931.0,0,0,win
0,0,957.0,0,0,win
0,0,925.0,0,0,win
0,0,946.0,0,0,win
0,0,968.0,0,0,win
0,0,956.0,0,0,win
0,0,948.0,0,0,win
0,0,925.0,0,0,win
0,0,967.0,0,0,win
0,0,915.0,0,0,win
0,0,891.0,0,0,win
0,0,954.0,0,0,win
0,0,953.0,0,0,win
0,0,934.0,0,0,win
0,0,940.0,0,0,win
0,0,920.0,0,0,win
0,0,-288.0,0,0,lose
0,0,941.0,0,0,win
0,0,909.0,0,0,win
0,0,941.0,0,0,win
0,0,942.0,0,0,win
0,0,951.0,0,0,win
0,0,970.0,0,0,win
0,0,973.0,0,0,win
0,0,920.0,0,0,win
0,0,959.0,0,0,win
0,0,957.0,0,0,win
0,0,934.0,0,0,win
0,0,973.0,0,0,win
0,0,954.0,0,0,win
0,0,953.0,0,0,win
0,0,971.0,0,0,win
0,0,919.0,0,0,win
0,0,957.0,0,0,win
0,0,953.0,0,0,win
0,0,931.0,0,0,win
0,0,953.0,0,0,win
0,0,-305.0,0,0,lose
0,0,945.0,0,0,win
0,0,940.0,0,0,win
0,0,977.0,0,0,win
0,0,937.0,0,0,win
0,0,881.0,0,0,win
0,0,941.0,0,0,win
0,0,932.0,0,0,win
0,0,954.0,0,0,win
0,0,960.0,0,0,win
0,0,948.0,0,0,win
0,0,919.0,0,0,win
0,1,1073.0,0,1,win
0,0,929.0,0,0,win
0,0,967.0,0,0,win
0,0,975.0,0,0,win
0,0,969.0,0,0,win
0,0,966.0,0,0,win
0,0,963.0,0,0,win
0,0,911.0,0,0,win
0,0,913.0,0,0,win
0,0,908.0,0,0,win
0,0,907.0,0,0,win
0,0,939.0,0,0,win
0,0,950.0,0,0,win
0,0,856.0,0,0,win
0,0,918.0,0,0,win
0,0,930.0,0,0,win
0,0,937.0,0,0,win
0,0,971.0,0,0,win
0,0,948.0,0,0,win
0,0,924.0,0,0,win
0,0,959.0,0,0,win
0,0,961.0,0,0,win
0,0,954.0,0,0,win
0,0,953.0,0,0,win
0,0,929.0,0,0,win
0,0,958.0,0,0,win
0,0,945.0,0,0,win
0,0,942.0,0,0,win
0,0,-152.0,0,0,lose
0,0,944.0,0,0,win
0,0,910.0,0,0,win
0,0,917.0,0,0,win
0,0,965.0,0,0,win
0,0,904.0,0,0,win
0,0,921.0,0,0,win
0,0,917.0,0,0,win
0,0,945.0,0,0,win
0,0,935.0,0,0,win
0,0,955.0,0,0,win
0,0,954.0,0,0,win
0,0,959.0,0,0,win
0,0,956.0,0,0,win
0,0,938.0,0,0,win
0,0,946.0,0,0,win
0,0,941.0,0,0,win
0,0,912.0,0,0,win
0,0,942.0,0,0,win
0,0,953.0,0,0,win
0,0,891.0,0,0,win
0,0,913.0,0,0,win
0,0,958.0,0,0,win
0,0,958.0,0,0,win
0,0,945.0,0,0,win
0,0,882.0,0,0,win
0,0,959.0,0,0,win
0,0,913.0,0,0,win
0,0,952.0,0,0,win
0,0,983.0,0,0,win
0,0,968.0,0,0,win
0,0,939.0,0,0,win
1,0,1150.0,0,1,win
0,0,908.0,0,0,win
0,0,881.0,0,0,win
0,0,934.0,0,0,win
0,0,971.0,0,0,win
0,0,949.0,0,0,win
0,0,904.0,0,0,win
0,0,-142.0,0,0,lose
0,0,947.0,0,0,win
0,0,912.0,0,0,win
0,0,947.0,0,0,win
0,0,954.0,0,0,win
0,0,925.0,0,0,win
0,0,962.0,0,0,win
0,0,-62.0,0,0,lose
0,0,-290.0,0,0,lose
0,0,963.0,0,0,win
0,0,964.0,0,0,win
0,0,964.0,0,0,win
0,0,916.0,0,0,win
0,0,934.0,0,0,win
0,0,949.0,0,0,win
0,0,975.0,0,0,win
0,0,951.0,0,0,win
0,0,944.0,0,0,win
0,0,-99.0,0,0,lose
0,0,952.0,0,0,win
0,0,922.0,0,0,win
0,0,955.0,0,0,win
0,0,941.0,0,0,win
0,0,925.0,0,0,win
0,0,959.0,0,0,win
0,0,969.0,0,0,win
0,0,939.0,0,0,win
0,0,959.0,0,0,win
0,0,926.0,0,0,win
0,0,-406.0,0,0,lose
0,0,902.0,0,0,win
0,0,921.0,0,0,win
0,0,957.0,0,0,win
0,0,942.0,0,0,win
0,0,953.0,0,0,win
0,0,944.0,0,0,win
0,0,969.0,0,0,win
0,0,956.0,0,0,win
0,0,933.0,0,0,win
0,0,931.0,0,0,win
0,0,934.0,0,0,win
0,0,965.0,0,0,win
0,0,-176.0,0,0,lose
0,0,969.0,0,0,win
0,0,922.0,0,0,win
0,0,904.0,0,0,win
0,0,945.0,0,0,win
0,0,933.0,0,0,win
0,0,932.0,0,0,win
0,0,946.0,0,0,win
0,0,948.0,0,0,win
0,0,949.0,0,0,win
0,0,958.0,0,0,win
0,0,973.0,0,0,win
0,0,955.0,0,0,win
0,0,937.0,0,0,win
0,0,-99.0,0,0,lose
0,0,-116.0,0,0,lose
0,0,911.0,0,0,win
0,0,937.0,0,0,win
0,0,975.0,0,0,win
0,0,953.0,0,0,win
0,0,936.0,0,0,win
0,0,888.0,0,0,win
0,0,915.0,0,0,win
0,0,-86.0,0,0,lose
0,0,952.0,0,0,win
0,0,-110.0,0,0,lose
0,0,966.0,0,0,win
0,0,959.0,0,0,win
0,0,962.0,0,0,win
0,0,957.0,0,0,win
0,0,860.0,0,0,win
0,0,905.0,0,0,win
0,0,915.0,0,0,win
0,0,966.0,0,0,win
0,0,950.0,0,0,win
0,0,874.0,0,0,win
0,0,920.0,0,0,win
0,0,975.0,0,0,win
0,0,951.0,0,0,win
0,0,922.0,0,0,win
0,0,938.0,0,0,win
0,0,960.0,0,0,win
0,0,956.0,0,0,win
0,0,954.0,0,0,win
0,0,942.0,0,0,win
0,0,906.0,0,0,win
0,0,967.0,0,0,win
0,0,944.0,0,0,win
0,0,909.0,0,0,win
0,0,948.0,0,0,win
0,0,903.0,0,0,win
0,0,923.0,0,0,win
0,0,889.0,0,0,win
0,0,937.0,0,0,win
0,0,945.0,0,0,win
0,0,930.0,0,0,win
0,0,936.0,0,0,win
0,0,950.0,0,0,win
0,0,946.0,0,0,win
0,0,917.0,0,0,win
0,0,972.0,0,0,win
0,0,943.0,0,0,win
0,0,912.0,0,0,win
0,0,908.0,0,0,win
0,0,947.0,0,0,win
0,0,959.0,0,0,win
0,0,926.0,0,0,win
